verdict,notes,enrichment_id,domain,positioning,business_model,customer_type,technology_mentions,contact_routes,decision_makers,service_fit_evidence,confidence,validation_notes,source_urls
,,c7b7f702-0bb5-4810-9f65-ff80df2f4087,monumental.co,Monumental builds autonomous robots that lay bricks on real construction sites today.,,,"[""autonomous robots"", ""Atrium software"", ""integrated software stack"", ""micro controller"", ""UI"", ""machine vision pipeline"", ""robot hardware"", ""machine vision""]",[],"[{""name"": ""Salar"", ""role"": ""Founder""}, {""name"": ""Sebas"", ""role"": ""Founder""}]",,0.5000,[],"[""https://monumental.co"", ""https://monumental.co/about"", ""https://monumental.co/team"", ""https://monumental.co/contact""]"
,,f20698ed-99a5-4714-bfa0-8a0e8270ed40,tasklet.ai,,,,[],[],[],,0.4000,[],"[""https://tasklet.ai""]"
,,59118650-0619-497d-ab73-07445b490517,natural.co,"Natural provides agentic payment primitives such as wallets, payments, cards, processing, billing, and voice APIs.",,,[],[],[],"The site highlights a need for building complex payment rails and observability, which may require external engineering expertise.",0.4000,"[""dropped off-domain contact route: founders@natural.com"", ""dropped off-domain contact route: hi@natural.com""]","[""https://natural.co"", ""https://natural.co/about"", ""https://natural.co/contact""]"
,,85c23dbf-88ea-470f-97d8-d133c76ec824,canopyworks.com,,,"Leading health systems (Security, HR, Executives, Nursing, IT leaders)","[""Connected Safety Platform"", ""swiper@8""]",[],[],,0.5000,[],"[""https://canopyworks.com"", ""https://canopyworks.com/about"", ""https://canopyworks.com/contact""]"
,,88e540cd-1f1c-4a09-be55-776f39a98550,found.com,"Found offers full‑feature business banking with built‑in financial tools, automated bookkeeping, built‑in tax tools, and team spending solutions.",,Businesses and their teams,[],[],[],,0.6000,[],"[""https://found.com"", ""https://found.com/about""]"
,,6a26ede9-4174-4e7e-abd2-07176b41439c,obsidiansecurity.com,,,,"[""AI"", ""AI agents"", ""GenAI"", ""SaaS"", ""runtime security"", ""third‑party app security""]",[],[],,0.4000,[],"[""https://obsidiansecurity.com"", ""https://obsidiansecurity.com/contact""]"
,,9e791f7d-b8cd-455a-a436-a87937c93c62,netbird.io,NetBird provides a secure access platform that lets IT and engineering teams replace traditional VPNs with an identity‑based Zero Trust Network Access (ZTNA) solution.,,IT and Engineering teams,"[""VPN"", ""Zero Trust Network Access (ZTNA)"", ""identity‑based"", ""Open Source"", ""hybrid‑cloud"", ""edge""]",[],[],,0.6000,[],"[""https://netbird.io"", ""https://netbird.io/about""]"
,,f2d32f16-8b21-48dd-98bd-204940d56dfc,everflow.io,"Capture your performance from partnerships, affiliates and marketing.",,,"[""Google Tag Manager""]",[],[],,0.5000,[],"[""https://everflow.io""]"
,,3342beda-3407-4125-a865-50dd9808a81f,e2b.dev,,,,"[""virtual computers"", ""advanced data analysis""]",[],[],"The site highlights that companies like Perplexity shipped advanced data analysis in one week using E2B, suggesting they rely on external engineering help to accelerate development.",0.5000,[],"[""https://e2b.dev"", ""https://e2b.dev/contact""]"
,,6909acbe-2430-4356-aff1-03a2f8b1c00e,featurebase.app,Featurebase provides a modern platform for collecting user feedback and enabling companies to keep teams informed and collaborate with users to build better products.,,teams,[],[],[],"They noted that existing feedback tools were expensive, stagnant in development, and had poor interfaces, indicating a need for external engineering expertise to create a superior solution.",0.7000,[],"[""https://featurebase.app"", ""https://featurebase.app/about""]"
,,b3f7ac31-58ec-4b82-b806-15fa8795de06,rubyonrails.org,Accelerate your agents with convention over configuration.,,,"[""Ruby"", ""Rails"", ""AI""]",[],[],,0.5000,[],"[""https://rubyonrails.org""]"
,,30a0fa2e-81dd-4a61-a5f6-f95804140d39,axlehealth.com,,,,[],[],[],,0.4000,[],"[""https://axlehealth.com"", ""https://axlehealth.com/about"", ""https://axlehealth.com/contact""]"
