company_id                          , company                                                                      , domain                       , score_id                            , score, fit_score, intent_score, target_roles                                , reason_to_write                                                                                                              , evidence_urls                                                                                                                            , signal_types                       , positive_reasons                                                                                                           , penalties
145a45c2-66cd-4731-8dd7-10ade02f6462, Grnh                                                                         , grnh.se                      , 02e25b65-bbb3-4a30-8743-ba6d083bf24c,    50,        73,           69, CTO; Founder; Head of Talent; VP Engineering, Pomelo Care posted in Ask HN: Who is hiring? (August 2026).                                                                  , https://news.ycombinator.com/item?id=49164060;https://news.ycombinator.com/item?id=49159784;https://news.ycombinator.com/item?id=49157781, HIRING_DISCOVERY                   , Company has a resolvable domain.; Industry fit matches operations.                                                         , 
7ea08672-4f49-4a65-ba11-082c288be2b9, Brain Corp                                                                   , braincorp.com                , 5af9fa50-3d5f-4368-b842-fb9b9e275126,    39,        76,           51, CTO; Founder; Head of Talent; VP Engineering, Generic job board detected for braincorp.com.                                                                                , https://www.braincorp.com/careers;https://news.ycombinator.com/item?id=49160057                                                          , ATS_BOARD_DETECTED;HIRING_DISCOVERY, Company has a resolvable domain.; Industry fit matches operations.; 1 active relevant hiring signal(s) support service fit., 
7bea3ecc-ad1d-4a9b-86aa-e52db33b5863, Distru (                                                                     , distru.com                   , a76cbacf-ae7a-4cd2-acde-ab64a590d8c3,    37,        73,           51, CTO; Founder; Head of Talent; VP Engineering, Generic job board detected for distru.com.                                                                                   , https://www.distru.com/careers;https://news.ycombinator.com/item?id=49158895                                                             , ATS_BOARD_DETECTED;HIRING_DISCOVERY, "Company has a resolvable domain.; Industry fit matches b2b, marketplace, commerce."                                       , 
251a24d7-a5b8-4691-a1f4-3ecd36d2a5cb, Apex Dental Partners                                                         , apexdp.comwe                 , c9f2893a-4b4d-4bfa-9081-0d3113cee93c,    34,        73,           46, CTO; Founder; Head of Talent; VP Engineering, Apex Dental Partners posted in Ask HN: Who is hiring? (August 2026).                                                         , https://news.ycombinator.com/item?id=49160993                                                                                            , HIRING_DISCOVERY                   , Company has a resolvable domain.; Industry fit matches operations.                                                         , 
5bf37f36-2040-4150-aae4-d543c4961c04, AREO                                                                         , goareo.com                   , 6c2b4c75-5326-4918-a4e1-00d376993bcb,    34,        73,           46, CTO; Founder; Head of Talent; VP Engineering, AREO posted in Ask HN: Who is hiring? (August 2026).                                                                         , https://news.ycombinator.com/item?id=49159686                                                                                            , HIRING_DISCOVERY                   , "Company has a resolvable domain.; Industry fit matches b2b, saas."                                                        , 
269c433c-c287-41ed-9c7d-bee5edfda38b, Clad                                                                         , withclad.comclad             , 2e33cb72-74c6-43d0-a0a8-f19c59fcdfac,    34,        73,           46, CTO; Founder; Head of Talent; VP Engineering, Clad posted in Ask HN: Who is hiring? (August 2026).                                                                         , https://news.ycombinator.com/item?id=49158689                                                                                            , HIRING_DISCOVERY                   , Company has a resolvable domain.; Industry fit matches fintech.                                                            , 
ec73a9b8-7abd-4983-ab3c-c72147c77a79, Cogram                                                                       , cogram.com                   , 8b5beedc-4a86-468b-b093-888642259a0f,    34,        73,           46, CTO; Founder; Head of Talent; VP Engineering, Cogram posted in Ask HN: Who is hiring? (August 2026).                                                                       , https://news.ycombinator.com/item?id=49157888                                                                                            , HIRING_DISCOVERY                   , "Company has a resolvable domain.; Industry fit matches b2b, saas."                                                        , 
271bac56-4b79-419c-802f-d6a32268dabd, Enveritas                                                                    , enveritas.org                , b8cbb48e-f280-460a-a403-81b27d6e7ac4,    34,        73,           46, CTO; Founder; Head of Talent; VP Engineering, Enveritas posted in Ask HN: Who is hiring? (August 2026).                                                                    , https://news.ycombinator.com/item?id=49158655                                                                                            , HIRING_DISCOVERY                   , Company has a resolvable domain.; Industry fit matches supply chain.                                                       , 
ba62184d-134c-422f-999d-4ebf0c02ac92, Featurebase                                                                  , go.featurebase.app           , d5baf662-b1dc-4b2b-843d-8bf816e1d385,    34,        73,           46, CTO; Founder; Head of Talent; VP Engineering, Featurebase posted in Ask HN: Who is hiring? (August 2026).                                                                  , https://news.ycombinator.com/item?id=49162401                                                                                            , HIRING_DISCOVERY                   , Company has a resolvable domain.; Industry fit matches saas.                                                               , 
4bcc420e-8645-4220-82e1-0f98957a582a, Flywheel Motion (                                                            , flywheelmotion.com           , 4c8aec10-d902-4ffe-b7d4-0a7f76eee2e8,    34,        73,           46, CTO; Founder; Head of Talent; VP Engineering, Flywheel Motion ( posted in Ask HN: Who is hiring? (August 2026).                                                            , https://news.ycombinator.com/item?id=49156702                                                                                            , HIRING_DISCOVERY                   , Company has a resolvable domain.; Industry fit matches operations.                                                         , 
